n,txid,exito,t_verificacion_s,metadatos_ok,integridad,bloque,id_registro,sha256_recuperado
41,6e2b658836ba78c13e5d505dd34bba34982dfc876e188174cdc9c9fbec492625,True,0.215,True,OK,4910279,LCD-FBA6085A0EDE,1b1cc3899b1d106252a15466cc95611eb1ae2520676cec714135288344e29c2d
42,1653e3c42e5a4efe4e31977e6d454abd89a52ffa9dbca23b5fc6cebc82d22c52,True,0.219,True,OK,4910282,LCD-D6B2EFFD36AF,9476cb4f5b811344653280e2558b7ad1942bf0fa6aaf487fbd862de250d88f9e
43,f63261e4421fc1f5e379942460c9b4199b0e0aaa49d0c3c9b0ac9b164c78858f,True,0.228,True,OK,4910283,LCD-684BAFD55098,a861cf56c7cd20a26a01fa2aacc282038db026e5f4fc3d828ca311b6764efdff
44,b17b4b14d305f7349d9555e7b961a250a7908d24bd4f3a4b7d3211a2b4f993ec,True,0.212,True,OK,4910284,LCD-963FB89D5400,a557b3f2bb402507acc71025e6541e367fe7b503ec129e8f55d8a97907229a3d
45,af90e5589f750411e403e6d87ae57689ee13bec78e2a7991660a85f5fde11841,True,0.224,True,OK,4910286,LCD-12D7479EAF97,7d9819225c1448ae9638be58ded3b217534ae06e42b6b1426f4029101d5b3ec7
46,b01e77ef1c0232119548daf238fc394e6eda5cdef3af4aec4838ec036ec645f9,True,0.219,True,OK,4910289,LCD-3E1DC262CDDD,83c5eb0ad28cfb65f4a3fe6a33b097c2359d08c658fdc1788f9068b46aee6cf8
47,c18249ddf1cf92d9decc4c57390bea5eb8b60d3fed52d1fb2646e1941fa9e017,True,0.228,True,OK,4910293,LCD-2C8834785530,4ebc92f32a7b2364a8ac7a3d1671c03bc224282b6630ae63f07c57d7b7992a32
48,f26bb7f316091d152cd54fcaae4acfa15e0e47399f67b3b650ad19e761715393,True,0.212,True,OK,4910297,LCD-A2FDA2B11E78,e0cdf47e962140124c6b0110c91c7936ee03dea640db4ddd736e5af70af238c9
49,1dad7ee3173015c1d877b214c99b1d4bf184502aa57477703f5683fb74b74f90,True,0.219,True,OK,4910298,LCD-85C80BE432A3,66cd3314211bb305e674ea195dbe8c8117aa939b4922fdca47ed764a421382bb
50,c84be10581b5ab7bbc2973692b7a685d7bd89b1fb559824a04d5aaf12e37863f,True,0.228,True,OK,4910299,LCD-1F8646C839C1,77476c5f817ae242fdde0940c656e52d824776ea7f598a97541610ee482942e4
51,302b4d6e3f934feb649cb96a3a3a68b98775befa7240a53a1137815498aeacc4,True,0.216,True,OK,4911521,LCD-61306FF64C2B,ffe2c74c83221a97e95dfb0c2bdf9c6b982205c9d6fa13ad3ffd1cbc24f020df
52,ee45fa806e3c7095da79d64d3fdf9fd92855d74c304ee639cf202488d0d06c2e,True,0.221,True,OK,4911523,LCD-183389B14561,0117fd3723c185344785f3ad0af215c8a85c0a47225c22a37c3e6d994f6728fd
